Equipment_ID,Project_ID,Activity_ID,Date,Equipment_Name,Equipment_Type,Operating_Hours,Downtime_Hours,Fuel_Consumption_Litres,Rental_Cost_INR,Maintenance_Cost_INR,Equipment_Status
EQ00227,P001,A064,2026-11-05,Generator,Power,7.596267806,2.0,68.32876723,13234.64,3861.97,Breakdown
EQ00228,P001,A064,2026-11-18,Generator,Power,4.80523376,2.0,31.73805341,4883.92,2431.01,Breakdown
EQ00229,P001,A064,2026-11-22,Tower Crane,Lifting,5.342456761,0.0,49.57979378,10495.93,0.0,Operational
EQ00230,P001,A065,2026-10-27,Generator,Power,7.853548823,0.5,48.82194523,11894.14,739.15,Operational
EQ00231,P001,A065,2026-11-03,Generator,Power,5.884999671,0.0,38.31333304,9911.12,0.0,Operational
EQ00232,P001,A065,2026-12-07,Tower Crane,Lifting,8.386983457,0.5,74.1577632,8785.87,903.12,Operational
EQ00233,P001,A065,2026-12-08,Generator,Power,7.434585653,0.0,31.45202661,15449.67,0.0,Operational
EQ00234,P001,A065,2026-12-18,Tower Crane,Lifting,5.276749552,0.0,26.81203536,10108.65,0.0,Operational
EQ00235,P001,A066,2026-10-24,Tower Crane,Lifting,6.765141258,0.0,42.7816684,10674.0,0.0,Operational
EQ00236,P001,A066,2026-11-02,Tower Crane,Lifting,6.547336225,0.0,61.87247725,10173.0,0.0,Operational
EQ00237,P001,A066,2026-11-28,Tower Crane,Lifting,8.61290376,0.5,49.62365721,16601.7,514.32,Operational
EQ00238,P001,A066,2026-12-08,Generator,Power,4.964373659,0.0,20.50245241,10579.98,0.0,Idle
EQ00239,P001,A067,2026-11-05,Tower Crane,Lifting,8.4626571,2.0,50.72065684,13142.18,3647.04,Breakdown
EQ00240,P001,A067,2026-11-06,Tower Crane,Lifting,7.009245473,0.0,58.83821814,8023.43,0.0,Operational
EQ00241,P001,A067,2026-11-15,Generator,Power,8.413392232,0.5,82.33953308,16849.99,871.52,Operational
EQ00242,P001,A067,2026-12-12,Tower Crane,Lifting,7.619120158,0.5,55.39917015,7445.19,948.3,Operational
EQ00243,P001,A068,2026-12-12,Generator,Power,9.222325632,0.0,56.95697195,8536.21,0.0,Operational
EQ00244,P001,A068,2026-12-18,Generator,Power,6.11078957,0.0,30.56144406,7003.74,0.0,Operational
EQ00245,P001,A068,2026-12-20,Tower Crane,Lifting,8.683080037,1.0,54.68285931,9760.42,721.82,Maintenance
