Labour_ID,Project_ID,Activity_ID,Date,Contractor_ID,Labour_Type,Number_of_Workers,Working_Hours,Man_Hours,Overtime_Hours,Productivity_Quantity,Productivity_Unit,Productivity_Rate
LB00275,P001,A062,2026-08-24,C006,Skilled,8,8,64,0,70.08118388,m,1.095018498
LB00276,P001,A062,2026-09-01,C006,Unskilled,12,8,96,0,64.52382248,m,0.672123151
LB00277,P001,A062,2026-09-25,C006,Skilled,13,8,104,1,51.70282258,m,0.497142525
LB00278,P001,A062,2026-10-14,C006,Skilled,10,9,90,0,62.05916105,m,0.689546234
LB00279,P001,A062,2026-10-18,C006,Semi-skilled,12,8,96,0,68.83755329,m,0.717057847
LB00280,P001,A062,2026-11-04,C006,Semi-skilled,11,9,99,0,73.26212989,m,0.740021514
LB00281,P001,A062,2026-11-22,C006,Skilled,13,8,104,0,69.57603003,m,0.669000289
LB00282,P001,A063,2026-11-09,C006,Unskilled,14,8,112,0,3.300480705,no.,0.029468578
LB00283,P001,A063,2026-11-20,C006,Semi-skilled,13,9,117,2,4.338227804,no.,0.03707887
LB00284,P001,A063,2026-11-22,C006,Unskilled,9,8,72,0,3.754199575,no.,0.052141661
LB00285,P001,A063,2026-11-27,C006,Unskilled,12,9,108,0,3.117184526,no.,0.02886282
LB00286,P001,A063,2026-12-06,C006,Unskilled,13,8,104,1,3.9223563,no.,0.037714964
LB00287,P001,A063,2026-12-18,C006,Semi-skilled,11,8,88,0,3.315727166,no.,0.037678718
LB00288,P001,A064,2026-08-22,C007,Semi-skilled,11,8,88,1,177.8468322,m,2.020986729
LB00289,P001,A064,2026-08-27,C007,Semi-skilled,12,8,96,0,155.6719209,m,1.621582509
LB00290,P001,A064,2026-09-01,C007,Semi-skilled,10,8,80,2,168.6699336,m,2.108374171
LB00291,P001,A064,2026-09-23,C007,Semi-skilled,10,8,80,1,173.3927423,m,2.167409279
LB00292,P001,A064,2026-10-09,C007,Unskilled,11,8,88,1,140.7580792,m,1.599523627
LB00293,P001,A064,2026-10-10,C007,Semi-skilled,10,8,80,0,157.6986388,m,1.971232985
LB00294,P001,A064,2026-11-04,C007,Semi-skilled,11,9,99,1,174.5541652,m,1.763173386
LB00295,P001,A064,2026-11-14,C007,Semi-skilled,11,8,88,2,172.2233193,m,1.957083173
LB00296,P001,A065,2026-11-06,C007,Semi-skilled,10,8,80,0,16.23379253,no.,0.202922407
LB00297,P001,A065,2026-11-09,C007,Unskilled,12,9,108,1,19.17671673,no.,0.177562192
LB00298,P001,A065,2026-11-12,C007,Semi-skilled,9,8,72,2,18.4214357,no.,0.255853274
LB00299,P001,A065,2026-12-06,C007,Skilled,18,9,162,2,13.91735069,no.,0.085909572
LB00300,P001,A065,2026-12-21,C007,Unskilled,13,8,104,1,15.81055489,no.,0.152024566
LB00301,P001,A065,2026-12-23,C007,Semi-skilled,13,9,117,0,14.30104811,no.,0.12223118
LB00302,P001,A066,2026-10-20,C001,Unskilled,10,9,90,0,18.89679141,m,0.209964349
LB00303,P001,A066,2026-10-24,C001,Unskilled,16,8,128,0,12.72650399,m,0.099425812
LB00304,P001,A066,2026-11-20,C001,Skilled,10,9,90,1,16.76169376,m,0.186241042
LB00305,P001,A066,2026-12-02,C001,Skilled,15,8,120,0,13.63885994,m,0.113657166
LB00306,P001,A066,2026-12-03,C001,Skilled,10,8,80,2,17.31333502,m,0.216416688
LB00307,P001,A067,2026-11-01,C001,Skilled,11,8,88,1,93.49671406,m²,1.06246266
LB00308,P001,A067,2026-11-10,C001,Semi-skilled,9,8,72,1,70.78101497,m²,0.983069652
LB00309,P001,A067,2026-11-17,C001,Unskilled,10,9,90,1,101.0519791,m²,1.122799768
LB00310,P001,A067,2026-11-26,C001,Semi-skilled,12,8,96,0,93.32751861,m²,0.972161652
LB00311,P001,A067,2026-12-12,C001,Unskilled,12,8,96,0,91.85361175,m²,0.956808456
LB00312,P001,A068,2026-12-12,C001,Unskilled,11,8,88,2,2581.803841,m²,29.33868002
LB00313,P001,A068,2026-12-12,C001,Skilled,13,8,104,0,2779.244234,m²,26.72350225
LB00314,P001,A068,2026-12-13,C001,Unskilled,13,8,104,2,2658.095595,m²,25.55861149
LB00315,P001,A068,2026-12-14,C001,Unskilled,8,8,64,0,2976.884999,m²,46.51382811
